date_time,station_id,td,eto,etr,rso,airt,solar,windd,winds,precip,rh_max,rh_min,td_max,td_min,ee8_std,ref_res,wetness,airt_max,airt_min,prt1_std,prt2_std,prt3_std,door_time,hc2s3_std,soilm2_ni,soilm8_ni,soilt2_ni,soilt8_ni,st110_std,winds_max,soilec2_ni,soilec8_ni,soilm20_ni,soilm40_ni,soilt20_ni,soilt40_ni,stdprt_avg,heater_time,soilec20_ni,soilec40_ni,soilper2_ni,soilper8_ni,geonorinlett,precip_accum,soilper20_ni,soilper40_ni,soilpwec2_ni,soilpwec8_ni,soilpwec20_ni,soilpwec40_ni
"2019-01-01 00:00:00",1262318,-18.1,0.000,0.000,0.0000,-13.4,0.0008,284,4.474,0.000,80,77,-16.9,-19.0,,1499.712,0,-12.4,-14.3,33.0,33.0,32.9,0,,,,,,,7.158,,,,,,,32.1,0,,,,,,20.898,,,,,,
"2019-01-01 01:00:00",1262318,-19.6,0.000,0.000,0.0000,-14.8,0.0008,283,4.026,0.000,78,77,-18.4,-20.4,,1499.731,0,-13.6,-15.5,32.8,32.8,32.8,0,,,,,,,6.263,,,,,,,32.1,0,,,,,,20.898,,,,,,
"2019-01-01 02:00:00",1262318,-18.3,0.000,0.000,0.0000,-13.5,0.0008,270,3.132,0.000,80,77,-14.5,-20.4,,1499.729,0,-10.0,-15.6,34.0,34.0,33.9,0,,,,,,,6.935,,,,,,,32.1,0,,,,,,20.898,,,,,,
"2019-01-01 03:00:00",1262318,-15.3,0.000,0.000,0.0000,-10.6,0.0008,288,2.684,0.000,80,77,-13.0,-20.1,,1499.795,0,-8.3,-15.2,34.0,34.0,33.9,0,,,,,,,5.816,,,,,,,32.1,0,,,,,,20.898,,,,,,
"2019-01-01 04:00:00",1262318,-22.3,0.000,0.000,0.0000,-17.1,0.0008,275,2.013,0.000,78,76,-20.9,-23.6,,1499.714,0,-16.2,-18.4,33.1,33.0,33.0,0,,,,,,,4.921,,,,,,,32.1,0,,,,,,20.902,,,,,,
"2019-01-01 05:00:00",1262318,-21.3,0.000,0.000,0.0000,-16.2,0.0008,226,1.118,0.000,77,75,-19.3,-26.1,,1499.719,0,-14.5,-20.4,33.8,33.8,33.7,0,,,,,,,3.355,,,,,,,32.1,0,,,,,,20.902,,,,,,
"2019-01-01 06:00:00",1262318,-22.7,0.000,0.000,0.0000,-17.5,0.0008,222,0.895,0.000,78,75,-17.9,-26.7,,1499.704,0,-13.0,-21.4,34.7,34.7,34.7,0,,,,,,,3.579,,,,,,,32.1,0,,,,,,20.906,,,,,,
"2019-01-01 07:00:00",1262318,-17.6,0.000,0.000,0.0000,-12.7,0.0008,262,3.132,0.000,79,76,-15.6,-20.9,,1499.787,0,-10.8,-15.8,34.1,34.1,34.1,0,,,,,,,7.158,,,,,,,32.1,0,,,,,,20.906,,,,,,
"2019-01-01 08:00:00",1262318,-11.9,0.000,0.000,0.0022,-7.5,0.0132,304,8.724,0.000,80,78,-10.0,-15.8,,1499.874,0,-5.6,-11.0,33.9,33.9,33.9,0,,,,,,,14.764,,,,,,,32.1,0,,,,,,20.902,,,,,,
"2019-01-01 09:00:00",1262318,-11.2,0.000,0.000,0.2626,-6.7,0.3540,272,5.369,0.000,79,79,-10.3,-12.0,,1499.864,0,-5.8,-7.5,32.6,32.6,32.6,0,,,,,,,11.408,,,,,,,32.0,0,,,,,,20.890,,,,,,
"2019-01-01 10:00:00",1262318,-9.0,0.001,0.001,0.8440,-4.5,0.8344,297,7.606,0.000,79,77,-7.8,-10.9,,1499.848,0,-3.2,-6.6,33.1,33.1,33.2,0,,,,,,,11.632,,,,,,,32.0,0,,,,,,20.886,,,,,,
"2019-01-01 11:00:00",1262318,-10.8,0.001,0.002,1.3313,-5.2,1.2610,209,5.369,0.000,77,71,-7.2,-16.3,,1499.923,0,-1.3,-11.3,36.1,36.1,36.0,0,,,,,,,9.619,,,,,,,32.1,0,,,,,,20.882,,,,,,
"2019-01-01 12:00:00",1262318,-14.7,0.002,0.002,1.6459,-9.5,1.5342,101,5.592,0.000,76,74,-14.1,-15.7,,1499.760,0,-8.8,-10.5,32.5,32.5,32.5,0,,,,,,,10.066,,,,,,,32.0,0,,,,,,20.882,,,,,,
"2019-01-01 13:00:00",1262318,-13.6,0.002,0.002,1.7486,-8.1,1.6247,135,2.461,0.000,74,72,-12.0,-14.4,,1499.813,0,-6.2,-9.0,32.8,32.8,32.8,0,,,,,,,5.145,,,,,,,32.0,0,,,,,,20.882,,,,,,
"2019-01-01 14:00:00",1262318,-9.8,0.002,0.002,1.6311,-2.8,1.5166,170,4.474,0.000,73,57,-1.2,-13.4,,1499.804,0,8.5,-6.9,37.2,37.1,37.0,0,,,,,,,14.316,,,,,,,32.1,0,,,,,,20.878,,,,,,
"2019-01-01 15:00:00",1262318,-3.7,0.003,0.003,1.3059,8.7,1.2356,300,13.645,0.000,57,54,-3.1,-4.6,,1499.793,0,9.0,8.3,32.2,32.2,32.2,0,,,,,,,20.132,,,,,,,32.0,0,,,,,,20.878,,,,,,
